ticket_id,created_date,product,feature,severity,summary,status,resolved_days
T00001,2025-11-24,IOS-XE,VPN tunnel drop,low,Customer reports vpn tunnel drop on IOS-XE; intermittent since last change window.,resolved,12
T00002,2025-02-22,Webex,Auth failure,medium,Customer reports auth failure on Webex; intermittent since last change window.,resolved,1
T00003,2025-01-16,IOS-XE,BGP peering,medium,Customer reports bgp peering on IOS-XE; intermittent since last change window.,open,
T00004,2025-04-12,Webex,License activation,medium,Customer reports license activation on Webex; intermittent since last change window.,resolved,10
T00005,2025-05-23,IOS-XE,Auth failure,low,Customer reports auth failure on IOS-XE; intermittent since last change window.,resolved,5
T00006,2025-03-21,NX-OS,Config sync,low,Customer reports config sync on NX-OS; intermittent since last change window.,open,
T00007,2025-02-19,ASA,DNS resolution,medium,Customer reports dns resolution on ASA; intermittent since last change window.,resolved,12
T00008,2025-08-24,Meraki,VPN tunnel drop,critical,Customer reports vpn tunnel drop on Meraki; intermittent since last change window.,open,
T00009,2025-05-31,Webex,License activation,high,Customer reports license activation on Webex; intermittent since last change window.,resolved,12
T00010,2025-02-05,IOS-XE,Firmware upgrade,high,Customer reports firmware upgrade on IOS-XE; intermittent since last change window.,pending,
T00011,2025-04-30,IOS-XE,Interface flapping,medium,Customer reports interface flapping on IOS-XE; intermittent since last change window.,resolved,3
T00012,2025-07-09,ASA,BGP peering,low,Customer reports bgp peering on ASA; intermittent since last change window.,pending,
T00013,2025-11-28,IOS-XE,License activation,low,Customer reports license activation on IOS-XE; intermittent since last change window.,resolved,3
T00014,2025-08-25,UCS,BGP peering,critical,Customer reports bgp peering on UCS; intermittent since last change window.,resolved,4
T00015,2025-12-17,ASA,DNS resolution,high,Customer reports dns resolution on ASA; intermittent since last change window.,resolved,1
T00016,2025-06-11,UCS,BGP peering,low,Customer reports bgp peering on UCS; intermittent since last change window.,pending,
T00017,2025-06-11,NX-OS,License activation,low,Customer reports license activation on NX-OS; intermittent since last change window.,pending,
T00018,2025-08-23,NX-OS,BGP peering,low,Customer reports bgp peering on NX-OS; intermittent since last change window.,resolved,5
